Feature,Assigned Component,question
unique_ids,Component 33,
Cleaning,Component 5,
kitA3,Component 40,
kitA4,Component 6,
kitA5,Component 53,
kitA6,Component 2,
race,Component 8,Wie identifizieren Sie sich im Hinblick auf Ihre Ethnische und/oder Racial Identität?
F3A23_1,Component 51,Die Hamas wird von der Mehrheit der Palästinenser in Gaza unterstützt.
F3A24_1,Component 36,Israel ist ein legitimer Staat.
F3A25_1,Component 36,"Bei der israelischen Politik kann ich gut verstehen, dass man etwas gegen Juden hat."
F3A26_1,Component 49,Der Antisemitismus in Deutschland stellt für Juden eine Bedrohung dar.
F3A27_1,Component 36,In der Berichterstattung in deutschen Medien dominiert die israelische Perspektive.
F3A28_1,Component 52,Die Hamas ist eine Terrororganisation.
F3A29_1,Component 51,In der aktuellen öffentlichen Debatte um den Nahostkonflikt werden Argumente stark überspitzt und vereinfacht dargestellt.
F3A30_1,Component 52,Im nationalen Interesse ist unter bestimmten Umständen eine Diktatur die bessere Staatsform.
F3A31_1,Component 49,Wir sollten endlich wieder Mut zu einem starken Nationalgefühl haben.
F3A32_1,Component 48,Die Ausübung des islamischen Glaubens in Deutschland sollte eingeschränkt werden.
F3A33_1,Component 48,Muslime passen nicht in die deutsche Gesellschaft.
F3A34_1,Component 48,Juden passen nicht in die deutsche Gesellschaft.
F3A35_1,Component 49,In Deutschland gilt eine israelkritische Haltung als gesellschaftlich inakzeptabel.
F3A36_1,Component 52,
F3B1,Component 36,
F3B2,Component 36,
F3B3,Component 37,
F5cA1_1,Component 52,Künstliche Intelligenz hat einen negativen Einfluss auf die Inhalte auf den sozialen Medien.
F5cA2_1,Component 52,"Die Bundesrepublik Deutschland wird von einer fremden Macht beherrscht, die im Hintergrund die Fäden zieht."
F6a_bswA1,Component 36,
F6a_bswA2,Component 53,
F6b_bswA1,Component 46,
F6b_bswA2,Component 53,
F6c,Component 37,
respondent_id,Component 37,
F3B_Hamas,Component 49,Hamas
F3B_Israel,Component 17,Israel
F3B_Deutschland,Component 36,Deutschland
F3B_USA,Component 36,USA
F3B_UN,Component 36,Vereinte Nationen
F3B_Iran,Component 49,Iran
F3B_Katar,Component 49,Katar
F5A14_2,Component 49,"Soziale Netzwerke (z.B. X/Twitter, Facebook, Instagram)"
F5A14_3,Component 49,"Videoplattformen (z.B. YouTube, TikTok)"
F5A15_1,Component 49,"Einzelpersonen und Gruppierungen, denen ich digital folge"
F5aA4_1,Component 42,"Soziale Netzwerke (z.B. X/Twitter, Facebook, Instagram)"
F5aA5_1,Component 32,"Videoplattformen (z.B. YouTube, TikTok)"
F5bA2_2,Component 4,
F7p,Component 36,Welche Partei haben Sie bei der letzten Bundestagswahl gewählt
F5A6_2,Component 36,Das Bundesverfassungsgericht
F5A9_2,Component 36,Die Organe der Europäischen Union
F6d,Component 36,"Welche Partei würden Sie wählen, wenn am kommenden Sonntag Bundestagswahl wäre?"
NEU1,Component 48,Mit welchem der folgenden Energieträger werden Ihre Wohnräume beheizt?
NEU2,Component 36,In was für einem Wohnverhältnis leben Sie derzeit?
F1A5_2,Component 36,"Ich habe das Gefühl, ich kann in unserer Gesellschaft etwas verändern, indem ich mich engagiere."
F1A10_2,Component 48,Als Einzelner kann man sowieso nichts an der Lage des eigenen Landes ändern.
F1A16_2,Component 47," Unter Umständen werden aktuelle Krisen bewusst herbeigeführt, um die Interessen von Eliten zu verwirklichen. "
F1A17_2,Component 47,"Ich habe das Gefühl, dass die politische Führung meine Lage absichtlich nicht verbessert."
F5cA3_1,Component 49,
F5dA1_1,Component 36,
F5dA2_1,Component 36,
F5dA3_1,Component 36,
F5eA1_1,Component 52,
F5eA2_1,Component 52,
F5eA3_1,Component 47,
F5eA4_1,Component 51,
F5fA1_1,Component 35,
F5fA2_1,Component 35,
F5fA3_1,Component 36,
F71invest,Component 40,"Investieren Sie momentan in den Aktienmarkt (z.B. Einzelaktien, Fonds, ETFs, Derivate)?"
F71moral,Component 36,Aus moralischen Gründen beziehe ich Nachhaltigkeit (bezüglich der Umwelt oder sozialen Aspekten) in meine Entscheidungen bei der Geldanlage mit ein.
F71finanziell,Component 53,Aus finanziellen Gründen beziehe ich Nachhaltigkeit (bezüglich der Umwelt oder sozialen Aspekten) in meine Entscheidungen bei der Geldanlage mit ein.
NEU3,Component 36,Ich beziehe Ökostrom aus (der) folgenden Quelle(n):
NEU4,Component 46,Folgende Kosten sind in meinen Mietnebenkosten inbegriffen:
F3B_Huthi,Component 49,
state,Component 43,
region,Component 25,
migration_background,Component 8,
town_name,Component 6,
population_total,Component 43,
population_density_level,Component 24,
all_persons,Component 39,
dax_points,Component 37,
interest_rate,Component 11,
inflation_rate,Component 2,
consumer_price_index,Component 2,
